Date,Stock Symbol,Open Price,High Price,Low Price,Close Price,Volume
7/08/2024,ORCL.N,259.3980919,262.0540451,253.0197801,253.321593,2403031
7/08/2024,QQQ.OQ,196.0600981,197.060763,190.6442187,190.8153851,12131049
7/08/2024,SPY.N,184.3843306,185.4658864,180.7489075,180.9582409,2147479
7/08/2024,WMT.N,174.6013083,174.9588975,171.8743688,172.1316272,6301019
8/08/2024,AAPL.OQ,271.0635327,272.5906512,265.7567959,271.4580383,15053639
8/08/2024,AMZN.OQ,133.6036649,134.9067599,131.5964129,134.1945092,12447329
8/08/2024,BAC.N,170.7742537,173.4383682,170.051782,172.5352785,9522694
8/08/2024,GOOGL.OQ,224.1088494,228.4068274,223.564625,226.1043392,10255932
8/08/2024,JNJ.N,120.2359477,121.843441,119.8492395,121.4870628,1855180
8/08/2024,JPM.N,231.9233763,234.6954145,231.1444565,233.7446741,2499047
8/08/2024,LLY.N,603.0727766,605.8359967,570.5634927,583.9443858,1398541
8/08/2024,MSFT.OQ,228.0019121,229.9566999,226.6420597,228.1662276,6777968
8/08/2024,ORCL.N,258.2310822,261.1888483,256.8427431,259.4785754,2058321
8/08/2024,QQQ.OQ,193.5584358,197.0519852,191.8599388,196.652597,12236541
8/08/2024,SPY.N,182.7654857,185.3612196,182.0677078,185.1379307,2295430
8/08/2024,WMT.N,172.1573531,174.7042117,171.5913845,174.0610656,4078180
9/08/2024,AAPL.OQ,269.8418379,275.8612299,269.7654819,275.1867526,12167644
9/08/2024,AMZN.OQ,134.8420098,136.4121989,134.3563843,135.1171976,8580162
9/08/2024,BAC.N,172.3095061,173.5964089,171.180644,172.8513599,6374212
9/08/2024,GOOGL.OQ,223.271581,228.5603266,221.9598605,228.3928729,9141380
9/08/2024,JNJ.N,121.4112376,122.0178389,120.8880441,121.7903634,1397975
9/08/2024,JPM.N,233.0688465,236.4594387,232.5304755,235.7377924,1836334
9/08/2024,LLY.N,596.8555314,627.4029291,595.3150363,615.9770142,929461
9/08/2024,MSFT.OQ,228.9254785,231.1749009,227.9565836,230.0530227,5098360
9/08/2024,ORCL.N,258.8548288,266.3397877,258.8548288,265.7160411,1698807
9/08/2024,QQQ.OQ,196.0732647,198.3993717,195.58171,197.6795952,7875748
9/08/2024,SPY.N,184.8553306,186.4776643,184.4506194,185.9403753,1296175
9/08/2024,WMT.N,174.0096139,175.4759871,173.2378386,174.8071151,4138363
12/08/2024,AAPL.OQ,275.1972409,279.6628258,274.6876164,277.1465547,11387577
12/08/2024,AMZN.OQ,135.9184797,136.4121989,134.4535094,135.003885,8519083
12/08/2024,BAC.N,173.8447585,174.8607344,171.6321889,172.3546606,7973576
12/08/2024,GOOGL.OQ,229.6487755,230.1092732,225.8392042,226.4671555,5678759
12/08/2024,JNJ.N,122.0557515,122.5941101,120.357268,121.2292573,2464056
12/08/2024,JPM.N,236.4365293,237.1696303,233.2864859,236.1845258,2171619
12/08/2024,LLY.N,623.796927,624.4877321,609.9808268,610.9341377,872383
12/08/2024,MSFT.OQ,230.7159508,231.6055208,229.0671298,230.5006408,4930137
12/08/2024,ORCL.N,266.0379748,267.0238968,264.0057683,266.7623257,1433957
12/08/2024,QQQ.OQ,198.1097055,199.4175921,196.8676521,198.1053166,6183650
12/08/2024,SPY.N,186.3834643,186.9102867,185.2495752,186.0555087,1277264
12/08/2024,WMT.N,175.810423,178.0742973,175.1158252,176.7365534,4680386
13/08/2024,AAPL.OQ,279.2232747,282.701462,279.2232747,281.911544,14012210
13/08/2024,AMZN.OQ,135.740417,138.4275446,135.2466977,137.780044,10364185
13/08/2024,BAC.N,173.2577503,173.7544496,172.1740427,173.6641406,7717058
13/08/2024,GOOGL.OQ,227.7370126,229.8720471,227.4160597,229.0766421,6587501
13/08/2024,JNJ.N,121.5249754,121.5249754,118.6284545,120.0994625,3010636
13/08/2024,JPM.N,237.9485501,238.3609194,235.2796043,238.1890989,2111508
13/08/2024,LLY.N,618.2704869,631.5408512,615.949382,627.2854923,719961
13/08/2024,MSFT.OQ,232.1381297,235.1128067,232.1211316,234.5801979,7433899
13/08/2024,ORCL.N,267.5470391,270.6858928,267.3860723,270.1426297,1465444
13/08/2024,QQQ.OQ,200.194424,203.1349744,200.0013133,203.0208635,9572617
13/08/2024,SPY.N,187.217309,189.1955095,187.1021756,189.1117761,1723800
13/08/2024,WMT.N,176.0419556,176.4278433,172.7233217,175.2701803,6628139
14/08/2024,AAPL.OQ,280.8285918,284.1284106,279.9112677,282.4848715,12994864
14/08/2024,AMZN.OQ,139.2369205,139.4230769,136.6711992,137.6748252,9174344
14/08/2024,BAC.N,173.9350675,175.7186696,173.5738316,175.2445475,7914371
14/08/2024,GOOGL.OQ,226.6206547,227.7509671,220.0760065,223.7878965,10900404
14/08/2024,JNJ.N,119.6748416,120.9790343,119.4246186,120.1677051,1645271
14/08/2024,JPM.N,237.9600048,241.4078705,237.3414508,240.8236806,2324262
14/08/2024,LLY.N,628.6325621,645.1358939,624.6742494,643.6092148,745981
14/08/2024,MSFT.OQ,235.1694672,236.6823029,233.7019598,236.1950225,6504178
14/08/2024,ORCL.N,269.6999709,273.5631755,269.6999709,272.8388246,1355027
14/08/2024,QQQ.OQ,203.4202517,204.1224726,201.1950889,203.0866967,7909691
14/08/2024,SPY.N,189.397865,190.1305318,188.4523759,189.7362873,1354063
14/08/2024,WMT.N,174.7299376,176.9680861,174.5755825,176.6336501,6429660
15/08/2024,AAPL.OQ,286.4854241,287.0969735,283.822636,286.3070555,18365265
15/08/2024,AMZN.OQ,141.6002979,143.9879565,140.8313908,143.73705,15633988
15/08/2024,BAC.N,178.0441254,179.1729875,175.9670192,176.2379461,11151369
15/08/2024,GOOGL.OQ,223.7878965,225.5461602,222.741311,225.0856626,11448476
15/08/2024,JNJ.N,120.0842974,120.9335391,119.6824241,120.6302385,2211859
15/08/2024,JPM.N,243.9851788,244.9931927,241.8087852,242.3242468,2430884
15/08/2024,LLY.N,647.4957999,648.1875689,636.4274956,644.4381808,642486
